,X,Y
0,"[0.3722527027130127, -0.5705658197402954, -0.03206402063369751, -0.3822600245475769, -0.6195815205574036, -0.4337162971496582, 0.141571044921875, -1.0, -0.9996280670166016, 1.4501695659419056e-05, -0.003010687418282032, -0.0016896555898711085, -0.006556196603924036, 0.001124887727200985, -0.00030848340247757733, 6.700132416881388e-06, 3.7584229062304075e-07, 9.689122634881642e-06, -0.44816526770591736, -0.060653090476989746, -0.13599377870559692, 1.5409172826608142e-09, -3.7361530758062145e-08]","[1.0, -0.5539148449897766, -1.0, 0.9764030575752258, -0.11995150148868561, 0.03859413042664528, -1.0, 1.0, -1.0]"
1,"[0.3735010623931885, -0.5710327625274658, -0.03274160623550415, -0.3818962574005127, -0.6196327209472656, -0.43360674381256104, 0.13982534408569336, -0.9098883271217346, -0.999097466468811, 0.06087067723274231, -0.0061171879060566425, -0.03562247380614281, 0.02974344789981842, -0.004619469400495291, 0.004325294401496649, -0.06007944419980049, 0.02003524638712406, 1.6075236999313347e-05, -0.4473626911640167, -0.06099776178598404, -0.13600528240203857, 0.0, 1.5282562770835284e-08]","[1.0, -0.4495782256126404, -1.0, 0.9702345132827759, 0.17094971239566803, 0.13363397121429443, -1.0, 1.0, -1.0]"
2,"[0.37656497955322266, -0.571746826171875, -0.03460568189620972, -0.37903857231140137, -0.6193877458572388, -0.433053195476532, 0.13638997077941895, -0.8120488524436951, -0.9988463521003723, 0.12439332157373428, -0.013591392897069454, -0.08151628822088242, 0.07776876538991928, 0.006019589025527239, 0.014077635481953621, -0.11773749440908432, 0.02009274810552597, 7.77569402998779e-06, -0.4452824890613556, -0.06237117946147919, -0.13646841049194336, 1.5783049867046373e-10, -7.40552463796007e-09]","[1.0, -0.4143666625022888, -1.0, 0.8930479288101196, 0.15655331313610077, 0.3277658522129059, -1.0, 1.0, -1.0]"
3,"[0.38138043880462646, -0.5729912519454956, -0.03786182403564453, -0.3735247850418091, -0.618868350982666, -0.43159598112106323, 0.13133680820465088, -0.7064866423606873, -0.9987842440605164, 0.18399466574192047, -0.026851315051317215, -0.13200221955776215, 0.12536977231502533, 0.014896044507622719, 0.034412600100040436, -0.17304056882858276, 0.020187335088849068, -1.28219835460186e-06, -0.44173309206962585, -0.06515919417142868, -0.13737773895263672, 1.7185301792732588e-10, -1.2575265273540026e-08]","[1.0, -0.35582271218299866, -1.0, 0.7456324100494385, 0.16782675683498383, 0.5237879753112793, -1.0, 1.0, -1.0]"
4,"[0.3875770568847656, -0.5749803185462952, -0.04254025220870972, -0.3655719757080078, -0.6180852651596069, -0.4287353754043579, 0.12473165988922119, -0.6002955436706543, -0.9989044666290283, 0.21748919785022736, -0.04273465648293495, -0.18181370198726654, 0.16652554273605347, 0.024959437549114227, 0.06892701983451843, -0.22533459961414337, 0.02028004825115204, 3.0078972486080602e-05, -0.4366093575954437, -0.06954550743103027, -0.13862687349319458, 1.8179251159988752e-10, -1.2779697300402404e-08]","[1.0, -0.13830527663230896, -1.0, 0.4869222640991211, 0.026746753603219986, 0.8031044602394104, -1.0, 1.0, -1.0]"
5,"[0.3939073085784912, -0.5776463747024536, -0.04849433898925781, -0.3557795286178589, -0.617285966873169, -0.42382562160491943, 0.11722886562347412, -0.4951820373535156, -0.9990113973617554, 0.217489555478096, -0.05706757307052612, -0.21744556725025177, 0.1953284740447998, 0.02539549209177494, 0.11022824048995972, -0.2607443928718567, 0.02039295993745327, 2.3884105758043006e-05, -0.4300868809223175, -0.07572547346353531, -0.14010506868362427, 1.9090509728592053e-10, -1.2814684424711231e-08]","[1.0, 0.14739596843719482, -0.9999940395355225, 0.21952086687088013, -0.09760710597038269, 0.986260175704956, -1.0, 1.0, -1.0]"
6,"[0.4001927375793457, -0.5809423923492432, -0.05475825071334839, -0.3448413610458374, -0.6166674494743347, -0.41665780544281006, 0.10972678661346436, -0.3913511633872986, -0.9988795518875122, 0.21749046444892883, -0.06845661252737045, -0.21749868988990784, 0.2125539779663086, 0.017555903643369675, 0.16305379569530487, -0.2609059512615204, 0.020459655672311783, -7.885650120442733e-05, -0.4231034219264984, -0.08265428245067596, -0.14206409454345703, 1.9989672417342064e-10, -1.281983941225917e-08]","[1.0, 0.2748459279537201, -0.9906269907951355, 0.0916641354560852, -0.05820782855153084, 0.9755098819732666, -1.0, 0.9404674768447876, -1.0]"
7,"[0.40645313262939453, -0.5845614671707153, -0.061025381088256836, -0.3332356810569763, -0.6162253022193909, -0.40719395875930786, 0.10222363471984863, -0.28914713859558105, -0.9991976022720337, 0.2174903154373169, -0.07386869192123413, -0.21733282506465912, 0.217386394739151, 0.010425882413983345, 0.2130320519208908, -0.2611243426799774, 0.020436858758330345, -0.00025192328030243516, -0.4157693088054657, -0.0896114930510521, -0.14448952674865723, 2.0886976870304608e-10, -1.2820605022056952e-08]","[1.0, 0.3378949463367462, -0.9562288522720337, 0.04310239851474762, 0.053854335099458694, 0.9041882753372192, -1.0, 0.9150936007499695, -1.0]"
8,"[0.4126739501953125, -0.5882115364074707, -0.06729400157928467, -0.32143789529800415, -0.6157505512237549, -0.3957221508026123, 0.0947192907333374, -0.18851208686828613, -0.9996896982192993, 0.21510019898414612, -0.07168308645486832, -0.2174476683139801, 0.21749988198280334, 0.012235081754624844, 0.2575877606868744, -0.2611676752567291, 0.0204189233481884, -0.000257007748587057, -0.40792885422706604, -0.09619142860174179, -0.14708083868026733, 2.1783946868580983e-10, -1.2820843942051852e-08]","[1.0, 0.35910752415657043, -0.9262919425964355, 0.04075784981250763, 0.15625813603401184, 0.8156736493110657, -1.0, 0.9138960838317871, -1.0]"
9,"[0.41884899139404297, -0.5914958715438843, -0.07355672121047974, -0.30959272384643555, -0.615067720413208, -0.3841893672943115, 0.08721375465393066, -0.08932578563690186, -1.0, 0.21053068339824677, -0.06110689043998718, -0.21748638153076172, 0.21750107407569885, 0.020925527438521385, 0.2611061632633209, -0.26114344596862793, 0.020419185981154442, -0.0001889032864710316, -0.3997446596622467, -0.10241468995809555, -0.1493983268737793, 2.2680925193530044e-10, -1.28208190730561e-08]","[1.0, 0.37751680612564087, -0.8999140858650208, 0.025218771770596504, 0.19976045191287994, 0.823811411857605, -1.0, 0.9153738617897034, -1.0]"
