,X,Y
0,"[0.0, 0.0, -0.06745660305023193, -0.4525439143180847, -0.6301239728927612, -0.46330326795578003, 0.14295804500579834, 1.0, 0.9080578088760376, 0.020199408754706383, 0.0, -0.013865135610103607, -0.030366454273462296, -0.004304330330342054, 0.0, -0.011897183023393154, -3.3226577215828e-05, 0.0, -0.40766286849975586, -0.06565835326910019, -0.08816230297088623, 4.122211461066172e-09, -7.30780982394208e-08]","[1.0, 1.0, -1.0, 1.0, 1.0, 0.5476193428039551, -1.0, -0.9587030410766602, 0.891410768032074]"
1,"[0.0, 0.0, -0.06876283884048462, -0.4524552822113037, -0.6284557580947876, -0.46268004179000854, 0.14087939262390137, 0.9102373123168945, 0.9198274612426758, 0.0703522115945816, 0.0, -0.06124182417988777, 0.02785485051572323, 0.05817204341292381, 0.0, -0.07107328623533249, -0.020030630752444267, 0.0, -0.40589094161987305, -0.06633388996124268, -0.08690184354782104, 5.890949505982235e-09, -5.729871688231469e-08]","[1.0, 1.0, -1.0, 1.0, 0.7445206642150879, 1.0, -1.0, -0.8872565031051636, 0.5264468789100647]"
2,"[0.0, 0.0, -0.0716065764427185, -0.4487675428390503, -0.6254777312278748, -0.4595004916191101, 0.13713562488555908, 0.8143734931945801, 0.9650660753250122, 0.12319493293762207, 0.0, -0.11728005856275558, 0.09580203145742416, 0.10039769858121872, 0.0, -0.1279885321855545, -0.019939282909035683, 0.0, -0.40137767791748047, -0.06684426963329315, -0.0858578085899353, 7.611181018774005e-09, -3.3723125625328976e-08]","[1.0, 1.0, -1.0, 1.0, 0.43126508593559265, 1.0, -1.0, -0.8130665421485901, 0.08786644041538239]"
3,"[0.0, 0.0, -0.0760921835899353, -0.4413943290710449, -0.6218386292457581, -0.4537915587425232, 0.1317882537841797, 0.7138936519622803, 0.9860395193099976, 0.17579016089439392, 0.0, -0.17447295784950256, 0.16119514405727386, 0.12162142246961594, 0.0, -0.1826668679714203, -0.019695809110999107, 0.0, -0.39400148391723633, -0.06684426963329315, -0.08521968126296997, 7.862310802408956e-09, 5.530704783041074e-10]","[1.0, 1.0, -1.0, 0.5009689331054688, -0.026958003640174866, 1.0, -1.0, -0.7482380867004395, -0.23883068561553955]"
4,"[0.0, 0.0, -0.08210396766662598, -0.43135595321655273, -0.6184065341949463, -0.44566214084625244, 0.12490105628967285, 0.6116502285003662, 0.914385199546814, 0.21499553322792053, 0.0, -0.21750572323799133, 0.1994888335466385, 0.11392475664615631, 0.0, -0.23544736206531525, -0.019374340772628784, 0.0, -0.3839843273162842, -0.06590718775987625, -0.08496767282485962, 7.898976583931017e-09, -1.1720022285999221e-08]","[1.0, 0.9410589933395386, -0.8682990074157715, 0.18667742609977722, -0.4105302095413208, 1.0, -0.9392156004905701, -0.5881025195121765, -0.4646543264389038]"
5,"[0.0, 0.0, -0.08837944269180298, -0.4202573895454407, -0.615818202495575, -0.4352326989173889, 0.11739945411682129, 0.5123063325881958, 0.8287079334259033, 0.21429160237312317, 0.0, -0.21750394999980927, 0.21234937012195587, 0.08362418413162231, 0.0, -0.26077815890312195, -0.019065942615270615, 0.0, -0.372844934463501, -0.06327717751264572, -0.08544200658798218, 7.912068333837396e-09, -1.2720171582714102e-08]","[1.0, 0.9830601215362549, -0.8571820259094238, -0.06414157152175903, -0.3945058584213257, 1.0, -0.9098501801490784, -0.3967437148094177, -0.3608524203300476]"
6,"[0.0, 0.0, -0.09464693069458008, -0.40893733501434326, -0.61409592628479, -0.42370080947875977, 0.10989487171173096, 0.4147822856903076, 0.7407270669937134, 0.21510179340839386, 0.0, -0.21728233993053436, 0.2081214189529419, 0.05403178557753563, 0.0, -0.2608293890953064, -0.019007941707968712, 0.0, -0.36115360260009766, -0.058773137629032135, -0.08630001544952393, 7.92171395147534e-09, -1.2868383691966301e-08]","[1.0, 0.8646211624145508, -0.8462823033332825, -0.11435973644256592, -0.43610504269599915, 1.0, -0.8813247680664062, -0.2415795922279358, -0.3349236845970154]"
7,"[0.0, 0.0, -0.10089582204818726, -0.39831507205963135, -0.613276481628418, -0.4125252366065979, 0.10238826274871826, 0.318758487701416, 0.6510542631149292, 0.21391995251178741, 0.0, -0.21593530476093292, 0.18485553562641144, 0.02496538870036602, 0.0, -0.260873019695282, -0.019014066085219383, 0.0, -0.3493351936340332, -0.05269128829240799, -0.08703017234802246, 7.930830214775142e-09, -1.2891004708137643e-08]","[1.0, 0.5589163303375244, -0.8300113677978516, 0.11362189054489136, -0.5233091711997986, 1.0, -0.8457329869270325, -0.12286689132452011, -0.3656734824180603]"
8,"[0.0, 0.0, -0.10715436935424805, -0.3888767957687378, -0.6133568286895752, -0.4011775851249695, 0.09488260746002197, 0.22404932975769043, 0.5598713159561157, 0.21610431373119354, 0.0, -0.2169225662946701, 0.16778206825256348, -0.005570059176534414, 0.0, -0.2609153985977173, -0.019048672169446945, 0.0, -0.3376009464263916, -0.04559772461652756, -0.0875316858291626, 7.939864765660332e-09, -1.2894564527243801e-08]","[1.0, 0.21253494918346405, -0.8148899674415588, 0.3588489592075348, -0.617093563079834, 1.0, -0.8095653653144836, 0.01305466704070568, -0.3667929768562317]"
9,"[0.0, 0.0, -0.11342275142669678, -0.37981754541397095, -0.6144551038742065, -0.389700710773468, 0.08737826347351074, 0.1307920217514038, 0.4669543504714966, 0.2178042232990265, 0.0, -0.21746234595775604, 0.16817794740200043, -0.04116460680961609, 0.0, -0.26095831394195557, -0.019063681364059448, 0.0, -0.3261682987213135, -0.038029544055461884, -0.0882377028465271, 7.948889546582905e-09, -1.2895008616453651e-08]","[1.0, -0.029908210039138794, -0.8263682723045349, 0.4536721408367157, -0.6265859603881836, 1.0, -0.7650465369224548, 0.18443696200847626, -0.2561313509941101]"
