,X,Y
0,"[0.0, 0.0, -0.0816582441329956, -0.4939004182815552, -0.5949051380157471, -0.4080653190612793, 0.20160901546478271, 0.4766385555267334, 0.7801505327224731, 0.008063002489507198, 0.0, -0.014683239161968231, -0.02924739196896553, -0.015544654801487923, 0.0, -0.0015920900041237473, 0.02003261260688305, 0.0, -0.37215232849121094, -0.01685752533376217, -0.044770240783691406, 3.921924118799325e-09, -1.9069486256739765e-07]","[1.0, 0.9186083078384399, -1.0, 1.0, -0.436199814081192, 0.31986528635025024, -1.0, -0.33316221833229065, 0.11607851088047028]"
1,"[0.0, 0.0, -0.08305531740188599, -0.494181752204895, -0.5959149599075317, -0.4080858826637268, 0.19982588291168213, 0.5623279809951782, 0.6922401189804077, 0.05695856362581253, 0.0, -0.06502505391836166, 0.02335711568593979, -0.03871191293001175, 0.0, -0.06131066009402275, 0.02000957541167736, 0.0, -0.37095069885253906, -0.01764347217977047, -0.04447108507156372, 8.881669844029716e-10, 1.0800032868019116e-07]","[1.0, 0.36282581090927124, -1.0, 1.0, -0.09814579039812088, 0.4375716745853424, -1.0, -0.42861029505729675, -0.1388470083475113]"
2,"[0.0, 0.0, -0.08601504564285278, -0.4911782145500183, -0.5970825552940369, -0.4069381356239319, 0.19635498523712158, 0.5411888360977173, 0.6046047210693359, 0.11464051157236099, 0.0, -0.12109266966581345, 0.08385390043258667, -0.043085843324661255, 0.0, -0.11874828487634659, -0.0037183163221925497, 0.0, -0.36774706840515137, -0.01838548295199871, -0.04483520984649658, 9.405685119645568e-10, -1.1139460909248555e-08]","[1.0, 0.08777238428592682, -1.0, 1.0, -0.27210214734077454, 0.8024255633354187, -1.0, -0.2984200417995453, -0.33374249935150146]"
3,"[0.0, 0.0, -0.09059929847717285, -0.48497140407562256, -0.5986549258232117, -0.40368402004241943, 0.19126808643341064, 0.4573850631713867, 0.5152878761291504, 0.17307470738887787, 0.0, -0.17720367014408112, 0.14015039801597595, -0.058015376329422, 0.0, -0.17394495010375977, -0.019917262718081474, 0.0, -0.3623676300048828, -0.01896359585225582, -0.04596221446990967, 9.47166789444509e-10, -1.298431406837608e-08]","[1.0, -0.1846178025007248, -1.0, 1.0, -0.6705127954483032, 1.0, -1.0, -0.17143946886062622, -0.5908823013305664]"
4,"[0.0, 0.0, -0.09665000438690186, -0.4758986234664917, -0.6012853384017944, -0.3978576064109802, 0.18463051319122314, 0.37367522716522217, 0.4218837022781372, 0.21745240688323975, 0.0, -0.2174944132566452, 0.18881919980049133, -0.0952487513422966, 0.0, -0.22701171040534973, -0.01981024257838726, 0.0, -0.3550255298614502, -0.0194713082164526, -0.04815196990966797, 9.558956959310194e-10, -1.2907914737070314e-08]","[0.8173171281814575, -0.5444048047065735, -0.9193937182426453, 1.0, -0.7612148523330688, 1.0, -0.9129747748374939, -0.09898816794157028, -0.6651458144187927]"
5,"[0.0, 0.0, -0.1029314398765564, -0.46468883752822876, -0.6051299571990967, -0.3895180821418762, 0.17713165283203125, 0.2905886173248291, 0.32378673553466797, 0.21749742329120636, 0.0, -0.2173297256231308, 0.21708038449287415, -0.1400219053030014, 0.0, -0.2608315646648407, -0.01973084732890129, 0.0, -0.3471658229827881, -0.020273616537451744, -0.05196654796600342, 9.648678522822252e-10, -1.289723261521658e-08]","[0.8391510248184204, -0.629826009273529, -0.9877535700798035, 1.0, -0.38852810859680176, 1.0, -0.7828189134597778, -0.05777551978826523, -0.3627326488494873]"
6,"[0.0, 0.0, -0.10920053720474243, -0.45275044441223145, -0.6096169948577881, -0.3787574768066406, 0.16962957382202148, 0.21120524406433105, 0.22375833988189697, 0.21749649941921234, 0.0, -0.21659818291664124, 0.21708829700946808, -0.1579461544752121, 0.0, -0.2607510983943939, -0.01583910919725895, 0.0, -0.33917665481567383, -0.021590201184153557, -0.056648969650268555, 9.73881308929947e-10, -1.2895418066705133e-08]","[0.8362410664558411, -0.680122971534729, -1.0, 1.0, -0.21723014116287231, 1.0, -0.7323107123374939, -0.006917605176568031, -0.1104791909456253]"
7,"[0.0, 0.0, -0.11544948816299438, -0.4408321976661682, -0.6143500804901123, -0.3672192096710205, 0.1621265411376953, 0.16476166248321533, 0.12488901615142822, 0.2177431434392929, 0.0, -0.21471992135047913, 0.21005113422870636, -0.16711193323135376, 0.0, -0.26116418838500977, -0.007083883974701166, 0.0, -0.3313117027282715, -0.023857949301600456, -0.061513423919677734, 9.829004277150943e-10, -1.2895206680241245e-08]","[0.8562600612640381, -0.701367974281311, -1.0, 1.0, -0.08323220908641815, 0.92204749584198, -0.6679894328117371, 0.012152263894677162, 0.08975215256214142]"
8,"[0.0, 0.0, -0.12167972326278687, -0.42903947830200195, -0.619067907333374, -0.3556799292564392, 0.15462195873260498, 0.1485600471496582, 0.02828085422515869, 0.21776989102363586, 0.0, -0.21329469978809357, 0.20379340648651123, -0.16571290791034698, 0.0, -0.26113268733024597, -0.002241607289761305, 0.0, -0.3236274719238281, -0.027366099879145622, -0.06625568866729736, 9.919205457009639e-10, -1.2895140066859767e-08]","[0.8942985534667969, -0.6192899346351624, -1.0, 0.9337387681007385, -0.02528654783964157, 0.9178117513656616, -0.6187567114830017, 0.03442408889532089, 0.27597934007644653]"
9,"[0.0, 0.0, -0.12789583206176758, -0.417330265045166, -0.623645544052124, -0.34414052963256836, 0.147117018699646, 0.15328264236450195, -0.06447780132293701, 0.21777157485485077, 0.0, -0.21240536868572235, 0.20074418187141418, -0.16058188676834106, 0.0, -0.2610877752304077, 0.0011538899270817637, 0.0, -0.3160429000854492, -0.0321793332695961, -0.07075196504592896, 1.0009414408429507e-09, -1.2895122303291373e-08]","[0.9627859592437744, -0.4536396265029907, -1.0, 0.6803300976753235, 0.008183620870113373, 0.9512563943862915, -0.5697858929634094, 0.05892747640609741, 0.45568156242370605]"
10,"[0.0, 0.0, -0.13410300016403198, -0.4056536555290222, -0.6280336380004883, -0.33260124921798706, 0.13961148262023926, 0.17579436302185059, -0.15189319849014282, 0.2177346795797348, 0.0, -0.21232204139232635, 0.20048990845680237, -0.15340721607208252, 0.0, -0.26103290915489197, 0.004032974597066641, 0.0, -0.3084602355957031, -0.03824423998594284, -0.07489907741546631, 1.0099623359849375e-09, -1.2895183587602332e-08]","[1.0, -0.23925501108169556, -0.9864807724952698, 0.3858886659145355, 0.03179914504289627, 1.0, -0.5222440361976624, 0.06874492019414902, 0.6190148591995239]"
11,"[0.0, 0.0, -0.14032304286956787, -0.3938649892807007, -0.6322057843208313, -0.3210586905479431, 0.1321033239364624, 0.2096325159072876, -0.12401789426803589, 0.2176615446805954, 0.0, -0.21379731595516205, 0.2057281732559204, -0.144889697432518, 0.0, -0.2610001266002655, 0.005827346350997686, 0.0, -0.3007488250732422, -0.045402102172374725, -0.0786278247833252, 1.0189828980600169e-09, -1.2895208456598084e-08]","[1.0, 0.0012661516666412354, -0.9607895016670227, 0.057999271899461746, 0.09849237650632858, 1.0, -0.4962853789329529, 0.08243807405233383, 0.6150234341621399]"
12,"[0.0, 0.0, -0.14656418561935425, -0.3819091320037842, -0.636050283908844, -0.3095182180404663, 0.1245955228805542, 0.25329911708831787, -0.037128567695617676, 0.21755464375019073, 0.0, -0.21605776250362396, 0.2134133130311966, -0.1326768398284912, 0.0, -0.2609745264053345, 0.007343148346990347, 0.0, -0.2927868366241455, -0.05334305018186569, -0.0818137526512146, 1.0280035711573987e-09, -1.2895226220166478e-08]","[1.0, 0.26172304153442383, -0.9262202382087708, -0.28610852360725403, 0.16577666997909546, 1.0, -0.48788100481033325, 0.09436497837305069, 0.5217952728271484]"
13,"[0.0, 0.0, -0.15281832218170166, -0.36984556913375854, -0.6394717693328857, -0.2981024384498596, 0.11708855628967285, 0.3056149482727051, 0.05312848091125488, 0.21204982697963715, 0.0, -0.21740007400512695, 0.21749868988990784, -0.11757456511259079, 0.0, -0.26095062494277954, 0.008698801510035992, 0.0, -0.28450465202331543, -0.06164687126874924, -0.08433127403259277, 1.0370240222101756e-09, -1.2895143619573446e-08]","[1.0, 0.5616316795349121, -0.8845441341400146, -0.5970544815063477, 0.2002204954624176, 1.0, -0.4986323118209839, 0.10928767174482346, 0.46330690383911133]"
14,"[0.0, 0.0, -0.15906906127929688, -0.35776329040527344, -0.6424323320388794, -0.2872183322906494, 0.1095811128616333, 0.36703598499298096, 0.14607632160186768, 0.19923029839992523, 0.0, -0.21723102033138275, 0.21749739348888397, -0.10143864154815674, 0.0, -0.2609352171421051, 0.010181860066950321, 0.0, -0.2759115695953369, -0.06987303495407104, -0.08609771728515625, 1.0460451393967674e-09, -1.289521911473912e-08]","[1.0, 0.9201297760009766, -0.8240725994110107, -0.8821731209754944, 0.18887212872505188, 1.0, -0.5294055938720703, 0.12332247942686081, 0.45785605907440186]"
15,"[0.0, 0.0, -0.16532236337661743, -0.34566110372543335, -0.6449487209320068, -0.27698272466659546, 0.10207366943359375, 0.4367290735244751, 0.23901474475860596, 0.1831469088792801, 0.0, -0.21703653037548065, 0.21749678254127502, -0.0867852196097374, 0.0, -0.260936975479126, 0.011783959344029427, 0.0, -0.26700377464294434, -0.07745684683322906, -0.0871877670288086, 1.0550655904495443e-09, -1.289525108916223e-08]","[1.0, 1.0, -0.7335694432258606, -1.0, 0.1091676726937294, 1.0, -0.5620701313018799, 0.12558606266975403, 0.5090168714523315]"
16,"[0.0, 0.0, -0.17158329486846924, -0.3335425853729248, -0.6471601724624634, -0.2673256993293762, 0.0945664644241333, 0.5102695226669312, 0.3305867910385132, 0.17285998165607452, 0.0, -0.2171730250120163, 0.21749670803546906, -0.07660164684057236, 0.0, -0.2609401047229767, 0.01286593358963728, 0.0, -0.2577991485595703, -0.08381690829992294, -0.08781009912490845, 1.0640865966138335e-09, -1.2895141843216607e-08]","[1.0, 1.0, -0.6340869069099426, -1.0, -0.015760332345962524, 1.0, -0.578385055065155, 0.12005423754453659, 0.5718093514442444]"
17,"[0.0, 0.0, -0.1778460144996643, -0.3214227557182312, -0.6493005752563477, -0.2590622305870056, 0.0870591402053833, 0.5844917297363281, 0.4208652973175049, 0.17521438002586365, 0.0, -0.21720461547374725, 0.21749646961688995, -0.07308844476938248, 0.0, -0.2609633505344391, 0.013024791143834591, 0.0, -0.24843740463256836, -0.08883046358823776, -0.0880587100982666, 1.0731074917558203e-09, -1.2895187140316011e-08]","[1.0, 1.0, -0.5593671202659607, -1.0, -0.1353890299797058, 1.0, -0.5609923601150513, 0.12520526349544525, 0.5440211892127991]"
18,"[0.0, 0.0, -0.18409228324890137, -0.30951154232025146, -0.6516014337539673, -0.2522957921028137, 0.07955658435821533, 0.6606016159057617, 0.509985089302063, 0.1770559400320053, 0.0, -0.21475239098072052, 0.2039717435836792, -0.08077507466077805, 0.0, -0.2590387761592865, 0.013761498034000397, 0.0, -0.23903846740722656, -0.09250486642122269, -0.08802765607833862, 1.0821279428085973e-09, -1.2895165824033938e-08]","[1.0, 1.0, -0.5099158883094788, -1.0, -0.19370129704475403, 1.0, -0.4930878281593323, 0.11496829241514206, 0.4487002491950989]"
19,"[0.0, 0.0, -0.19030463695526123, -0.2995260953903198, -0.6542118787765503, -0.2463294267654419, 0.0720745325088501, 0.7357699871063232, 0.5981417894363403, 0.1718677580356598, 0.0, -0.21150024235248566, 0.15166375041007996, -0.09122836589813232, 0.0, -0.2539083957672119, 0.013332575559616089, 0.0, -0.22972702980041504, -0.09427767246961594, -0.08734405040740967, 1.0911483938613742e-09, -1.2895196022100208e-08]","[1.0, 1.0, -0.39824822545051575, -0.9122692942619324, -0.23053893446922302, 1.0, -0.3511202037334442, 0.04586177319288254, 0.24745745956897736]"
20,"[0.0, 0.0, -0.19649088382720947, -0.2926129102706909, -0.657136082649231, -0.24102258682250977, 0.06459367275238037, 0.787834644317627, 0.6854400634765625, 0.17237061262130737, 0.0, -0.2095085233449936, 0.09078927338123322, -0.10156092792749405, 0.0, -0.2535035014152527, 0.00869246106594801, 0.0, -0.22056078910827637, -0.093691885471344, -0.0856446623802185, 1.100169066958756e-09, -1.2895104539722979e-08]","[1.0, 0.7516464591026306, -0.3116888105869293, -0.1535962074995041, -0.26025399565696716, 1.0, -0.24167461693286896, 0.010383637621998787, -0.01871795952320099]"
21,"[0.0, 0.0, -0.2026854157447815, -0.28777921199798584, -0.6603200435638428, -0.23620551824569702, 0.0571061372756958, 0.8144619464874268, 0.7718148231506348, 0.18413040041923523, 0.0, -0.21022732555866241, 0.0643564984202385, -0.11166143417358398, 0.0, -0.25556787848472595, 0.004659653175622225, 0.0, -0.2114708423614502, -0.09088321030139923, -0.08330243825912476, 1.1091898510784404e-09, -1.2895176482174975e-08]","[1.0, 0.2866894602775574, -0.2982906997203827, 0.31837257742881775, -0.3469420373439789, 1.0, -0.15411844849586487, 0.026403220370411873, -0.3454791307449341]"
